JesusFilm	The JESUS Film — Burmese, Common [mya]	images	
0	Der Jesusfilm	JF00.png	http://www.jesusfilm.org/watch/jesus.html/burmese-common.html
1	Der Anfang	JF01.png	http://www.jesusfilm.org/watch/jesus.html/the-beginning/burmese-common.html
2	Die Geburt von Jesus	JF02.png	http://www.jesusfilm.org/watch/jesus.html/birth-of-jesus/burmese-common.html
3	Die Kindheit von Jesus	JF03.png	http://www.jesusfilm.org/watch/jesus.html/childhood-of-jesus/burmese-common.html
4	Die Taufe von Jesus	JF04.png	http://www.jesusfilm.org/watch/jesus.html/baptism-of-jesus-by-john/burmese-common.html
5	Jesus wird vom Teufel versucht	JF05.png	http://www.jesusfilm.org/watch/jesus.html/the-devil-tempts-jesus/burmese-common.html
6	Jesus kündigt die Erfüllung der Schriften an	JF06.png	http://www.jesusfilm.org/watch/jesus.html/jesus-proclaims-fulfillment-of-the-scriptures/burmese-common.html
7	Gleichnis vom Pharisäer und dem Zolleinnehmer	JF07.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-pharisee-and-tax-collector/burmese-common.html
8	Wundersamer Fischfang	JF08.png	http://www.jesusfilm.org/watch/jesus.html/miraculous-catch-of-fish/burmese-common.html
9	Jesus erweckt Jairus Tochter zum Leben	JF09.png	http://www.jesusfilm.org/watch/jesus.html/jairus-daughter-brought-back-to-life/burmese-common.html
10	Jesus erwählt seine Jünger	JF10.png	http://www.jesusfilm.org/watch/jesus.html/disciples-chosen/burmese-common.html
11	Seligpreisungen	JF11.png	http://www.jesusfilm.org/watch/jesus.html/beatitudes/burmese-common.html
12	Die Bergpredigt	JF12.png	http://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/burmese-common.html
13	Glücklich sind die, die hören und gehorchen	JF13.png	http://www.jesusfilm.org/watch/jesus.html/blessed-are-those-who-hear-and-obey/burmese-common.html
14	Jesus vergibt der Sünderin	JF14.png	http://www.jesusfilm.org/watch/jesus.html/sinful-woman-forgiven/burmese-common.html
15	Die Frauen unter den Jüngern	JF15.png	http://www.jesusfilm.org/watch/jesus.html/women-disciples/burmese-common.html
16	Johannes der Täufer im Gefängnis	JF16.png	http://www.jesusfilm.org/watch/jesus.html/john-the-baptist-in-prison/burmese-common.html
17	Gleichnis vom gesähten Samen	JF17.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-sower-and-the-seed/burmese-common.html
18	Gleichnis der Lampe	JF18.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-lamp/burmese-common.html
19	Jesus stillt den Sturm	JF19.png	http://www.jesusfilm.org/watch/jesus.html/jesus-calms-the-storm/burmese-common.html
20	Jesus heilt einen Besessenen 	JF20.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-the-demoniac/burmese-common.html
21	Jesus gibt 5000 Menschen zu essen	JF21.png	http://www.jesusfilm.org/watch/jesus.html/jesus-feeds-5000/burmese-common.html
22	Petrus sagt, dass Jesus der Messias ist	JF22.png	http://www.jesusfilm.org/watch/jesus.html/peter-declares-jesus-to-be-the-christ/burmese-common.html
23	Jesus wird verklärt	JF23.png	http://www.jesusfilm.org/watch/jesus.html/the-transfiguration/burmese-common.html
24	Jesus heilt einen besessenen Jungen	JF24.png	http://www.jesusfilm.org/watch/jesus.html/jesus-heals-boy-from-evil-spirit/burmese-common.html
25	Jesus lehrt seine Jünger beten	JF25.png	http://www.jesusfilm.org/watch/jesus.html/the-lord-prayer/burmese-common.html
26	Jesus lehrt über Gebet und Glauben	JF26.png	http://www.jesusfilm.org/watch/jesus.html/teaching-about-prayer-and-faith/burmese-common.html
27	Wehe denen, die Anderen Anstoß zur Sünde geben	JF27.png	http://www.jesusfilm.org/watch/jesus.html/woe-to-those-who-cause-others-to-sin/burmese-common.html
28	Das Reich Gottes als Senfkorn	JF28.png	http://www.jesusfilm.org/watch/jesus.html/the-kingdom-of-god-as-a-mustard-seed/burmese-common.html
29	Jesus in Gemeinschaft mit Sündern	JF29.png	http://www.jesusfilm.org/watch/jesus.html/jesus-spends-time-with-sinners/burmese-common.html
30	Heilung am Sabbat	JF30.png	http://www.jesusfilm.org/watch/jesus.html/healing-on-the-sabbath/burmese-common.html
31	Gleichnis vom barmherzigen Samariter	JF31.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-good-samaritan/burmese-common.html
32	Heilung von Bartimäus	JF32.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-bartimaeus/burmese-common.html
33	Jesus und Zachäus	JF33.png	http://www.jesusfilm.org/watch/jesus.html/jesus-and-zaccheus/burmese-common.html
34	Jesus kündigt seinen Tod und seine Auferstehung an	JF34.png	http://www.jesusfilm.org/watch/jesus.html/jesus-predicts-his-death-and-resurrection/burmese-common.html
35	Jesus triumphaler Einzug in Jerusalem	JF35.png	http://www.jesusfilm.org/watch/jesus.html/jesus-triumphal-entry/burmese-common.html
36	Jesus weint um Jerusalem	JF36.png	http://www.jesusfilm.org/watch/jesus.html/jesus-weeps-over-jerusalem/burmese-common.html
37	Jesus vertreibt die Geldwechseler aus dem Tempel	JF37.png	http://www.jesusfilm.org/watch/jesus.html/jesus-drives-out-money-changers/burmese-common.html
38	Das Opfer der Witwe	JF38.png	http://www.jesusfilm.org/watch/jesus.html/widow-offering/burmese-common.html
39	Hannas befragt Jesus	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/burmese-common.html
40	Gleichnis vom Weinberg und den Pächtern	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/burmese-common.html
41	Steuern für Cesar	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/burmese-common.html
42	Das letzte Abendmahl	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/burmese-common.html
43	Jesus lehrt beim Abendmahl	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/burmese-common.html
44	Verrat und Festnahme von Jesus	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/burmese-common.html
45	Petrus verleugnet Jesus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/burmese-common.html
46	Jesus wird verspottet	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/burmese-common.html
47	Jesus vor Pilatus	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/burmese-common.html
48	Jesus vor Herodes	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/burmese-common.html
49	Jesus wird verurteilt	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/burmese-common.html
50	Jesus trägt sein Kreuz	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/burmese-common.html
51	Jesus wird gekreuzigt	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/burmese-common.html
52	Die Soldaten teilen Jesus Kleider unter sich auf	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/burmese-common.html
53	Das Schild am Kreuz	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/burmese-common.html
54	Gekreuzigte Verbrecher	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/burmese-common.html
55	Jesus stirbt	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/burmese-common.html
56	Jesus wird begraben	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/burmese-common.html
57	Engel am Grab	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/burmese-common.html
58	Das Grab ist leer	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/burmese-common.html
59	Der auferstandene Jesus erscheint den Jüngern	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/burmese-common.html
60	Missionsbefehl und Auffahrt in den Himmel	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/burmese-common.html
61	Einladung, Jesus persönlich kennenzulernen	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/burmese-common.html
